,Company,Availble Jobs,Average Salary,Rating,Total Reviews
481,Accenture,32.5k,6.4L,3.7,(70.5k)
482,Wipro,5.6k,4.7L,3.6,(62.6k)
483,Cognizant,836,5.9L,3.6,(59.5k)
484,Capgemini,2.1k,4.7L,3.7,(51.1k)
485,HDFC Bank,198,1.5L,3.8,(50k)
486,Infosys,2.9k,5.1L,3.5,(46.8k)
487,ICICI Bank,32,1.5L,4.0,(44.9k)
488,HCLTech,282,3.7L,3.4,(44k)
489,Tech Mahindra,432,2.8L,3.4,(42k)
490,Genpact,371,2.3L,3.6,(40.4k)
491,Teleperformance,850,95.1k,3.8,(36.2k)
492,Axis Bank,219,1L,3.6,(32k)
493,Jio,3,62.2k,4.3,(31.5k)
494,Concentrix Corporation,73,1.3L,3.6,(31.3k)
495,Amazon,1.4k,1.4L,3.9,(30.4k)
496,iEnergizer,72,23.9k,4.6,(27.3k)
497,Reliance Retail,33,74.3k,3.9,(26.8k)
498,IBM,2.6k,2.1L,3.9,(25.2k)
499,LTIMindtree,474,1.9L,3.6,(25.2k)
500,TCS,3k,9.6L,3.4,(1.1L)
501,Accenture,32.5k,6.4L,3.7,(70.5k)
502,Wipro,5.6k,4.7L,3.6,(62.6k)
503,Cognizant,836,5.9L,3.6,(59.5k)
504,Capgemini,2.1k,4.7L,3.7,(51.1k)
505,HDFC Bank,198,1.5L,3.8,(50k)
506,Infosys,2.9k,5.1L,3.5,(46.8k)
507,ICICI Bank,32,1.5L,4.0,(44.9k)
508,HCLTech,282,3.7L,3.4,(44k)
509,Tech Mahindra,432,2.8L,3.4,(42k)
510,Genpact,371,2.3L,3.6,(40.4k)
511,Teleperformance,850,95.1k,3.8,(36.2k)
512,Axis Bank,219,1L,3.6,(32k)
513,Jio,3,62.2k,4.3,(31.5k)
514,Concentrix Corporation,73,1.3L,3.6,(31.3k)
515,Amazon,1.4k,1.4L,3.9,(30.4k)
516,iEnergizer,72,23.9k,4.6,(27.3k)
517,Reliance Retail,33,74.3k,3.9,(26.8k)
518,IBM,2.6k,2.1L,3.9,(25.2k)
519,LTIMindtree,474,1.9L,3.6,(25.2k)
520,TCS,3k,9.6L,3.4,(1.1L)
521,Accenture,32.5k,6.4L,3.7,(70.5k)
522,Wipro,5.6k,4.7L,3.6,(62.6k)
523,Cognizant,836,5.9L,3.6,(59.5k)
524,Capgemini,2.1k,4.7L,3.7,(51.1k)
525,HDFC Bank,198,1.5L,3.8,(50k)
526,Infosys,2.9k,5.1L,3.5,(46.8k)
527,ICICI Bank,32,1.5L,4.0,(44.9k)
528,HCLTech,282,3.7L,3.4,(44k)
529,Tech Mahindra,432,2.8L,3.4,(42k)
530,Genpact,371,2.3L,3.6,(40.4k)
531,Teleperformance,850,95.1k,3.8,(36.2k)
532,Axis Bank,219,1L,3.6,(32k)
533,Jio,3,62.2k,4.3,(31.5k)
534,Concentrix Corporation,73,1.3L,3.6,(31.3k)
535,Amazon,1.4k,1.4L,3.9,(30.4k)
536,iEnergizer,72,23.9k,4.6,(27.3k)
537,Reliance Retail,33,74.3k,3.9,(26.8k)
538,IBM,2.6k,2.1L,3.9,(25.2k)
539,LTIMindtree,474,1.9L,3.6,(25.2k)
540,TCS,3k,9.6L,3.4,(1.1L)
541,Accenture,32.5k,6.4L,3.7,(70.5k)
542,Wipro,5.6k,4.7L,3.6,(62.6k)
543,Cognizant,836,5.9L,3.6,(59.5k)
544,Capgemini,2.1k,4.7L,3.7,(51.1k)
545,HDFC Bank,198,1.5L,3.8,(50k)
546,Infosys,2.9k,5.1L,3.5,(46.8k)
547,ICICI Bank,32,1.5L,4.0,(44.9k)
548,HCLTech,282,3.7L,3.4,(44k)
549,Tech Mahindra,432,2.8L,3.4,(42k)
550,Genpact,371,2.3L,3.6,(40.4k)
551,Teleperformance,850,95.1k,3.8,(36.2k)
552,Axis Bank,219,1L,3.6,(32k)
553,Jio,3,62.2k,4.3,(31.5k)
554,Concentrix Corporation,73,1.3L,3.6,(31.3k)
555,Amazon,1.4k,1.4L,3.9,(30.4k)
556,iEnergizer,72,23.9k,4.6,(27.3k)
557,Reliance Retail,33,74.3k,3.9,(26.8k)
558,IBM,2.6k,2.1L,3.9,(25.2k)
559,LTIMindtree,474,1.9L,3.6,(25.2k)
560,TCS,3k,9.6L,3.4,(1.1L)
561,Accenture,32.5k,6.4L,3.7,(70.5k)
562,Wipro,5.6k,4.7L,3.6,(62.6k)
563,Cognizant,836,5.9L,3.6,(59.5k)
564,Capgemini,2.1k,4.7L,3.7,(51.1k)
565,HDFC Bank,198,1.5L,3.8,(50k)
566,Infosys,2.9k,5.1L,3.5,(46.8k)
567,ICICI Bank,32,1.5L,4.0,(44.9k)
568,HCLTech,282,3.7L,3.4,(44k)
